trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.01, 'e': 0.5712090638488149}",20,0,-138.2900435397797,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.5655254386995371}",25,0,-142.00469253430037,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.559898366565402}",20,0,-45.66715070755444,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.5543272847345071}",25,15,-6.879201616043701,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.5488116360940265}",30,17,-40.12534401304261,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,0,-3.59808830362335,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,0,-31.53163134046209,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,8,-21.20595230038512,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.5272924240430485}",35,19,-1.3137060213500416,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.522045776761016}",20,0,-72.09386569567096,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.5168513344916992}",30,21,4.35807736325149,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.5117085777865424}",35,2,-54.64092503165865,"{0: 26, 1: 4, 2: 1, 3: 1, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.5066169923655895}",30,2,-79.79634431520259,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.5015760690660555}",20,15,8.047073675435374,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,9,-20.261463866909853,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,0,-3.579777204511079,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.4867522559599717}",25,0,-97.53993566105923,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
74,False,"{'a': 0.01, 'e': 0.48190899009020244}",30,0,-106.22027452952209,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.4771139155210344}",25,11,1.317913306106001,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.4723665527410147}",25,2,4.031656584658288,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.46766642700990924}",30,18,-41.3692452692114,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
78,False,"{'a': 0.01, 'e': 0.46301306831122807}",20,0,-145.23505244532132,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
79,False,"{'a': 0.01, 'e': 0.4584060113052235}",20,0,-42.12832165795089,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.45384479528235583}",20,4,-66.32427639020143,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.44932896411722156}",20,0,-126.08645646168705,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
82,False,"{'a': 0.01, 'e': 0.4448580662229411}",30,2,-47.23201899147123,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 2}",1
83,False,"{'a': 0.01, 'e': 0.44043165450599925}",20,0,-60.30864499467058,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.43604928632153556}",30,0,0.8333389718565931,"{0: 25, 1: 4, 2: 1, 3: 0, 4: 0}",0
